 SOUID,    DATE,   HU, Q_HU
115594,19790101,   75,    0
115594,19790102,   62,    0
115594,19790103,   86,    0
115594,19790104,   90,    0
115594,19790105,   84,    0
115594,19790106,   90,    0
115594,19790107,   89,    0
115594,19790108,   84,    0
115594,19790109,   88,    0
115594,19790110,   97,    0
115594,19790111,   83,    0
115594,19790112,   91,    0
115594,19790113,   95,    0
115594,19790114,   89,    0
115594,19790115,   95,    0
115594,19790116,   95,    0
115594,19790117,   88,    0
115594,19790118,   91,    0
115594,19790119,   87,    0
115594,19790120,   87,    0
115594,19790121,   82,    0
115594,19790122,   85,    0
115594,19790123,   85,    0
115594,19790124,   83,    0
115594,19790125,   88,    0
115594,19790126,   85,    0
115594,19790127,   83,    0
115594,19790128,   70,    0
115594,19790129,   89,    0
115594,19790130,   65,    0
115594,19790131,   76,    0
115594,19790201,   89,    0
115594,19790202,   98,    0
115594,19790203,   86,    0
115594,19790204,   89,    0
115594,19790205,   83,    0
115594,19790206,   95,    0
115594,19790207,   90,    0
115594,19790208,   84,    0
115594,19790209,   77,    0
115594,19790210,   71,    0
115594,19790211,   71,    0
115594,19790212,   70,    0
115594,19790213,   76,    0
115594,19790214,   73,    0
115594,19790215,   74,    0
115594,19790216,   82,    0
115594,19790217,   84,    0
115594,19790218,   60,    0
115594,19790219,   65,    0
115594,19790220,   82,    0
115594,19790221,   88,    0
115594,19790222,   87,    0
115594,19790223,   93,    0
115594,19790224,   91,    0
115594,19790225,   92,    0
115594,19790226,   89,    0
115594,19790227,   95,    0
115594,19790228,   99,    0
115594,19790301,   84,    0
115594,19790302,   90,    0
115594,19790303,   99,    0
115594,19790304,   98,    0
115594,19790305,   87,    0
115594,19790306,   87,    0
115594,19790307,   89,    0
115594,19790308,   98,    0
115594,19790309,   87,    0
115594,19790310,   86,    0
115594,19790311,   97,    0
115594,19790312,   86,    0
115594,19790313,   73,    0
115594,19790314,   85,    0
115594,19790315,   82,    0
115594,19790316,   72,    0
115594,19790317,   73,    0
115594,19790318,   62,    0
115594,19790319,   61,    0
115594,19790320,   65,    0
115594,19790321,   80,    0
115594,19790322,   90,    0
115594,19790323,   79,    0
115594,19790324,   89,    0
115594,19790325,   89,    0
115594,19790326,   73,    0
115594,19790327,   87,    0
115594,19790328,   92,    0
115594,19790329,   76,    0
115594,19790330,   80,    0
115594,19790331,   95,    0
115594,19790401,   99,    0
115594,19790402,   97,    0
115594,19790403,   98,    0
115594,19790404,   79,    0
115594,19790405,   86,    0
115594,19790406,   78,    0
115594,19790407,   67,    0
115594,19790408,   78,    0
115594,19790409,   97,    0
115594,19790410,   72,    0
115594,19790411,   62,    0
115594,19790412,   74,    0
115594,19790413,   84,    0
115594,19790414,   94,    0
115594,19790415,   56,    0
115594,19790416,   46,    0
115594,19790417,   68,    0
115594,19790418,   78,    0
115594,19790419,   84,    0
115594,19790420,   82,    0
115594,19790421,   76,    0
115594,19790422,   95,    0
115594,19790423,   96,    0
115594,19790424,   91,    0
115594,19790425,   96,    0
115594,19790426,   99,    0
115594,19790427,   96,    0
115594,19790428,   97,    0
115594,19790429,   92,    0
115594,19790430,   95,    0
115594,19790501,   88,    0
115594,19790502,   80,    0
115594,19790503,   79,    0
115594,19790504,   70,    0
115594,19790505,   92,    0
115594,19790506,   66,    0
115594,19790507,   85,    0
115594,19790508,   80,    0
115594,19790509,   75,    0
115594,19790510,   78,    0
115594,19790511,   95,    0
115594,19790512,   73,    0
115594,19790513,   83,    0
115594,19790514,   93,    0
115594,19790515,   92,    0
115594,19790516,   92,    0
115594,19790517,   70,    0
115594,19790518,   84,    0
115594,19790519,   99,    0
115594,19790520,   78,    0
115594,19790521,   61,    0
115594,19790522,   57,    0
115594,19790523,   96,    0
115594,19790524,   66,    0
115594,19790525,   68,    0
115594,19790526,   91,    0
115594,19790527,   68,    0
115594,19790528,   67,    0
115594,19790529,   84,    0
115594,19790530,   74,    0
115594,19790531,   73,    0
115594,19790601,   82,    0
115594,19790602,   78,    0
115594,19790603,   74,    0
115594,19790604,   77,    0
115594,19790605,   80,    0
115594,19790606,   84,    0
115594,19790607,   80,    0
115594,19790608,   69,    0
115594,19790609,   94,    0
115594,19790610,   86,    0
115594,19790611,   82,    0
