 SOUID,    DATE,   HU, Q_HU
175126,19790101,   81,    0
175126,19790102,   69,    0
175126,19790103,   81,    0
175126,19790104,   84,    0
175126,19790105,   82,    0
175126,19790106,   88,    0
175126,19790107,   89,    0
175126,19790108,   86,    0
175126,19790109,   88,    0
175126,19790110,   98,    0
175126,19790111,   88,    0
175126,19790112,   91,    0
175126,19790113,   95,    0
175126,19790114,   89,    0
175126,19790115,   95,    0
175126,19790116,   93,    0
175126,19790117,   90,    0
175126,19790118,   90,    0
175126,19790119,   86,    0
175126,19790120,   88,    0
175126,19790121,   88,    0
175126,19790122,   88,    0
175126,19790123,   88,    0
175126,19790124,   88,    0
175126,19790125,   95,    0
175126,19790126,   90,    0
175126,19790127,   90,    0
175126,19790128,   86,    0
175126,19790129,   93,    0
175126,19790130,   75,    0
175126,19790131,   83,    0
175126,19790201,   94,    0
175126,19790202,   97,    0
175126,19790203,   94,    0
175126,19790204,   94,    0
175126,19790205,   89,    0
175126,19790206,   93,    0
175126,19790207,   94,    0
175126,19790208,   89,    0
175126,19790209,   89,    0
175126,19790210,   81,    0
175126,19790211,   75,    0
175126,19790212,   85,    0
175126,19790213,   77,    0
175126,19790214,   68,    0
175126,19790215,   69,    0
175126,19790216,   77,    0
175126,19790217,   82,    0
175126,19790218,   73,    0
175126,19790219,   81,    0
175126,19790220,   84,    0
175126,19790221,   84,    0
175126,19790222,   88,    0
175126,19790223,   86,    0
175126,19790224,   85,    0
175126,19790225,   91,    0
175126,19790226,   88,    0
175126,19790227,   95,    0
175126,19790228,   99,    0
175126,19790301,   92,    0
175126,19790302,   92,    0
175126,19790303,   98,    0
175126,19790304,   99,    0
175126,19790305,   88,    0
175126,19790306,   90,    0
175126,19790307,   85,    0
175126,19790308,   95,    0
175126,19790309,   87,    0
175126,19790310,   89,    0
175126,19790311,   96,    0
175126,19790312,   90,    0
175126,19790313,   84,    0
175126,19790314,   88,    0
175126,19790315,   82,    0
175126,19790316,   82,    0
175126,19790317,   78,    0
175126,19790318,   62,    0
175126,19790319,   71,    0
175126,19790320,   83,    0
175126,19790321,   88,    0
175126,19790322,   94,    0
175126,19790323,   84,    0
175126,19790324,   95,    0
175126,19790325,   93,    0
175126,19790326,   85,    0
175126,19790327,   89,    0
175126,19790328,   96,    0
175126,19790329,   87,    0
175126,19790330,   84,    0
175126,19790331,   92,    0
175126,19790401,   98,    0
175126,19790402,   96,    0
175126,19790403,   96,    0
175126,19790404,   87,    0
175126,19790405,   80,    0
175126,19790406,   75,    0
175126,19790407,   65,    0
175126,19790408,   72,    0
175126,19790409,   77,    0
175126,19790410,   79,    0
175126,19790411,   75,    0
175126,19790412,   80,    0
175126,19790413,   83,    0
175126,19790414,   91,    0
175126,19790415,   70,    0
175126,19790416,   50,    0
175126,19790417,   71,    0
175126,19790418,   72,    0
175126,19790419,   78,    0
175126,19790420,   71,    0
175126,19790421,   72,    0
175126,19790422,   96,    0
175126,19790423,   94,    0
175126,19790424,   96,    0
175126,19790425,   94,    0
175126,19790426,   99,    0
175126,19790427,   97,    0
175126,19790428,   94,    0
175126,19790429,   88,    0
175126,19790430,   91,    0
175126,19790501,   83,    0
175126,19790502,   82,    0
175126,19790503,   79,    0
175126,19790504,   66,    0
175126,19790505,   93,    0
175126,19790506,   65,    0
175126,19790507,   74,    0
175126,19790508,   73,    0
175126,19790509,   64,    0
175126,19790510,   81,    0
175126,19790511,   93,    0
175126,19790512,   69,    0
175126,19790513,   69,    0
175126,19790514,   86,    0
175126,19790515,   88,    0
175126,19790516,   85,    0
175126,19790517,   70,    0
175126,19790518,   78,    0
175126,19790519,   94,    0
175126,19790520,   70,    0
175126,19790521,   72,    0
175126,19790522,   70,    0
175126,19790523,   92,    0
175126,19790524,   80,    0
175126,19790525,   73,    0
175126,19790526,   86,    0
175126,19790527,   73,    0
175126,19790528,   74,    0
175126,19790529,   80,    0
175126,19790530,   71,    0
175126,19790531,   79,    0
175126,19790601,   64,    0
175126,19790602,   67,    0
175126,19790603,   50,    0
175126,19790604,   58,    0
175126,19790605,   58,    0
175126,19790606,   73,    0
175126,19790607,   66,    0
175126,19790608,   65,    0
175126,19790609,   85,    0
175126,19790610,   72,    0
175126,19790611,   73,    0
175126,19790612,   77,    0
175126,19790613,   76,    0
175126,19790614,   83,    0
175126,19790615,   87,    0
175126,19790616,   86,    0
175126,19790617,   75,    0
175126,19790618,   63,    0
175126,19790619,   52,    0
175126,19790620,   70,    0
175126,19790621,   76,    0
175126,19790622,   79,    0
175126,19790623,   77,    0
175126,19790624,   69,    0
175126,19790625,   72,    0
175126,19790626,   66,    0
175126,19790627,   71,    0
175126,19790628,   73,    0
175126,19790629,   85,    0
175126,19790630,   84,    0
175126,19790701,   75,    0
175126,19790702,   76,    0
175126,19790703,   86,    0
175126,19790704,   82,    0
175126,19790705,   82,    0
175126,19790706,   81,    0
175126,19790707,   85,    0
175126,19790708,   83,    0
175126,19790709,   87,    0
175126,19790710,   89,    0
175126,19790711,   88,    0
175126,19790712,   89,    0
175126,19790713,   80,    0
175126,19790714,   84,    0
175126,19790715,   88,    0
175126,19790716,   81,    0
175126,19790717,   80,    0
175126,19790718,   89,    0
175126,19790719,   93,    0
175126,19790720,   86,    0
175126,19790721,   83,    0
175126,19790722,   85,    0
175126,19790723,   94,    0
175126,19790724,   94,    0
175126,19790725,   91,    0
175126,19790726,   87,    0
175126,19790727,   89,    0
175126,19790728,   83,    0
175126,19790729,   82,    0
175126,19790730,   83,    0
175126,19790731,   88,    0
175126,19790801,   91,    0
175126,19790802,   90,    0
175126,19790803,   86,    0
175126,19790804,   82,    0
175126,19790805,   75,    0
175126,19790806,   75,    0
175126,19790807,   71,    0
175126,19790808,   79,    0
175126,19790809,   84,    0
175126,19790810,   94,    0
175126,19790811,   90,    0
175126,19790812,   88,    0
175126,19790813,   91,    0
175126,19790814,   90,    0
175126,19790815,   90,    0
175126,19790816,   86,    0
175126,19790817,   81,    0
175126,19790818,   70,    0
175126,19790819,   73,    0
175126,19790820,   87,    0
175126,19790821,   86,    0
175126,19790822,   79,    0
175126,19790823,   74,    0
175126,19790824,   84,    0
175126,19790825,   92,    0
175126,19790826,   92,    0
175126,19790827,   74,    0
175126,19790828,   87,    0
175126,19790829,   88,    0
175126,19790830,   88,    0
175126,19790831,   84,    0
175126,19790901,   71,    0
175126,19790902,   85,    0
175126,19790903,   94,    0
175126,19790904,   90,    0
175126,19790905,   84,    0
175126,19790906,   81,    0
175126,19790907,   83,    0
175126,19790908,   79,    0
175126,19790909,   79,    0
175126,19790910,   85,    0
175126,19790911,   86,    0
175126,19790912,   61,    0
175126,19790913,   75,    0
175126,19790914,   64,    0
175126,19790915,   70,    0
175126,19790916,   79,    0
175126,19790917,   86,    0
175126,19790918,   96,    0
175126,19790919,   76,    0
175126,19790920,   75,    0
175126,19790921,   86,    0
175126,19790922,   77,    0
175126,19790923,   75,    0
175126,19790924,   86,    0
175126,19790925,   82,    0
175126,19790926,   86,    0
175126,19790927,   94,    0
175126,19790928,   67,    0
175126,19790929,   77,    0
175126,19790930,   76,    0
175126,19791001,   73,    0
175126,19791002,   60,    0
175126,19791003,   66,    0
175126,19791004,   66,    0
175126,19791005,   79,    0
175126,19791006,   79,    0
175126,19791007,   76,    0
175126,19791008,   90,    0
175126,19791009,   94,    0
175126,19791010,   94,    0
175126,19791011,   87,    0
175126,19791012,   89,    0
175126,19791013,   96,    0
175126,19791014,   94,    0
175126,19791015,   95,    0
175126,19791016,   96,    0
175126,19791017,   87,    0
175126,19791018,   86,    0
175126,19791019,   87,    0
175126,19791020,   83,    0
175126,19791021,   76,    0
175126,19791022,   64,    0
175126,19791023,   79,    0
175126,19791024,   83,    0
175126,19791025,   82,    0
175126,19791026,   81,    0
175126,19791027,   83,    0
175126,19791028,   83,    0
175126,19791029,   69,    0
175126,19791030,   70,    0
175126,19791031,   75,    0
175126,19791101,   67,    0
175126,19791102,   71,    0
175126,19791103,   73,    0
175126,19791104,   71,    0
175126,19791105,   92,    0
