 SOUID,    DATE,   HU, Q_HU
175154,19790101,   85,    0
175154,19790102,   79,    0
175154,19790103,   81,    0
175154,19790104,   78,    0
175154,19790105,   69,    0
175154,19790106,   84,    0
175154,19790107,   89,    0
175154,19790108,   87,    0
175154,19790109,   86,    0
175154,19790110,   89,    0
175154,19790111,   87,    0
175154,19790112,   89,    0
175154,19790113,   90,    0
175154,19790114,   92,    0
175154,19790115,   76,    0
175154,19790116,   83,    0
175154,19790117,   81,    0
175154,19790118,   84,    0
175154,19790119,   89,    0
175154,19790120,   87,    0
175154,19790121,   88,    0
175154,19790122,   90,    0
175154,19790123,   89,    0
175154,19790124,   81,    0
175154,19790125,   86,    0
175154,19790126,   81,    0
175154,19790127,   85,    0
175154,19790128,   82,    0
175154,19790129,   88,    0
175154,19790130,   90,    0
175154,19790131,   82,    0
175154,19790201,   86,    0
175154,19790202,   91,    0
175154,19790203,   91,    0
175154,19790204,   90,    0
175154,19790205,   82,    0
175154,19790206,   87,    0
175154,19790207,   90,    0
175154,19790208,   87,    0
175154,19790209,   84,    0
175154,19790210,   84,    0
175154,19790211,   76,    0
175154,19790212,   82,    0
175154,19790213,   72,    0
175154,19790214,   73,    0
175154,19790215,   76,    0
175154,19790216,   76,    0
175154,19790217,   76,    0
175154,19790218,   88,    0
175154,19790219,   93,    0
175154,19790220,   86,    0
175154,19790221,   76,    0
175154,19790222,   82,    0
175154,19790223,   74,    0
175154,19790224,   77,    0
175154,19790225,   86,    0
175154,19790226,   79,    0
175154,19790227,   87,    0
175154,19790228,   80,    0
175154,19790301,   85,    0
175154,19790302,   80,    0
175154,19790303,   79,    0
175154,19790304,   87,    0
175154,19790305,   78,    0
175154,19790306,   82,    0
175154,19790307,   64,    0
175154,19790308,   78,    0
175154,19790309,   83,    0
175154,19790310,   79,    0
175154,19790311,   82,    0
175154,19790312,   87,    0
175154,19790313,   89,    0
175154,19790314,   88,    0
175154,19790315,   87,    0
175154,19790316,   75,    0
175154,19790317,   69,    0
175154,19790318,   65,    0
175154,19790319,   65,    0
175154,19790320,   63,    0
175154,19790321,   70,    0
175154,19790322,   83,    0
175154,19790323,   71,    0
175154,19790324,   85,    0
175154,19790325,   82,    0
175154,19790326,   73,    0
175154,19790327,   62,    0
175154,19790328,   62,    0
175154,19790329,   73,    0
175154,19790330,   72,    0
175154,19790331,   82,    0
175154,19790401,   91,    0
175154,19790402,   75,    0
175154,19790403,   82,    0
175154,19790404,   88,    0
175154,19790405,   76,    0
175154,19790406,   75,    0
175154,19790407,   75,    0
175154,19790408,   81,    0
175154,19790409,   74,    0
175154,19790410,   64,    0
175154,19790411,   63,    0
175154,19790412,   58,    0
175154,19790413,   67,    0
175154,19790414,   88,    0
175154,19790415,   73,    0
175154,19790416,   55,    0
175154,19790417,   55,    0
175154,19790418,   66,    0
175154,19790419,   56,    0
175154,19790420,   56,    0
175154,19790421,   62,    0
175154,19790422,   58,    0
175154,19790423,   48,    0
175154,19790424,   76,    0
175154,19790425,   87,    0
175154,19790426,   73,    0
175154,19790427,   81,    0
175154,19790428,   84,    0
175154,19790429,   67,    0
175154,19790430,   58,    0
175154,19790501,   66,    0
175154,19790502,   68,    0
175154,19790503,   80,    0
175154,19790504,   96,    0
175154,19790505,   72,    0
175154,19790506,   58,    0
175154,19790507,   89,    0
175154,19790508,   62,    0
175154,19790509,   54,    0
175154,19790510,   82,    0
175154,19790511,   94,    0
175154,19790512,   60,    0
175154,19790513,   55,    0
175154,19790514,   63,    0
175154,19790515,   71,    0
175154,19790516,   75,    0
175154,19790517,   65,    0
175154,19790518,   59,    0
175154,19790519,   85,    0
175154,19790520,   77,    0
175154,19790521,   53,    0
175154,19790522,   44,    0
175154,19790523,   59,    0
175154,19790524,   71,    0
175154,19790525,   54,    0
175154,19790526,   69,    0
175154,19790527,   66,    0
175154,19790528,   67,    0
175154,19790529,   80,    0
175154,19790530,   59,    0
175154,19790531,   59,    0
175154,19790601,   62,    0
175154,19790602,   52,    0
175154,19790603,   50,    0
175154,19790604,   61,    0
175154,19790605,   58,    0
175154,19790606,   57,    0
175154,19790607,   62,    0
175154,19790608,   60,    0
175154,19790609,   67,    0
175154,19790610,   62,    0
175154,19790611,   63,    0
175154,19790612,   65,    0
175154,19790613,   64,    0
175154,19790614,   81,    0
175154,19790615,   87,    0
175154,19790616,   79,    0
175154,19790617,   82,    0
175154,19790618,   72,    0
175154,19790619,   66,    0
175154,19790620,   66,    0
175154,19790621,   66,    0
175154,19790622,   70,    0
175154,19790623,   69,    0
175154,19790624,   67,    0
175154,19790625,   70,    0
175154,19790626,   67,    0
175154,19790627,   76,    0
175154,19790628,   74,    0
175154,19790629,   75,    0
175154,19790630,   86,    0
175154,19790701,   80,    0
175154,19790702,   85,    0
175154,19790703,   79,    0
175154,19790704,   75,    0
175154,19790705,   90,    0
175154,19790706,   91,    0
175154,19790707,   96,    0
175154,19790708,   80,    0
175154,19790709,   75,    0
175154,19790710,   85,    0
175154,19790711,   77,    0
175154,19790712,   77,    0
175154,19790713,   94,    0
175154,19790714,   94,    0
175154,19790715,   96,    0
175154,19790716,   86,    0
175154,19790717,   89,    0
175154,19790718,   82,    0
175154,19790719,   84,    0
175154,19790720,   89,    0
175154,19790721,   83,    0
175154,19790722,   76,    0
175154,19790723,   75,    0
175154,19790724,   88,    0
175154,19790725,   90,    0
175154,19790726,   83,    0
175154,19790727,   81,    0
175154,19790728,   89,    0
175154,19790729,   92,    0
175154,19790730,   80,    0
175154,19790731,   71,    0
175154,19790801,   88,    0
175154,19790802,   81,    0
175154,19790803,   72,    0
175154,19790804,   86,    0
175154,19790805,   81,    0
175154,19790806,   85,    0
175154,19790807,   73,    0
175154,19790808,   70,    0
175154,19790809,   72,    0
175154,19790810,   81,    0
175154,19790811,   73,    0
175154,19790812,   70,    0
175154,19790813,   73,    0
175154,19790814,   83,    0
175154,19790815,   80,    0
175154,19790816,   77,    0
175154,19790817,   73,    0
175154,19790818,   72,    0
175154,19790819,   77,    0
175154,19790820,   85,    0
175154,19790821,   92,    0
175154,19790822,   85,    0
175154,19790823,   78,    0
175154,19790824,   89,    0
175154,19790825,   95,    0
175154,19790826,   85,    0
175154,19790827,   78,    0
175154,19790828,   80,    0
175154,19790829,   85,    0
175154,19790830,   89,    0
175154,19790831,   87,    0
175154,19790901,   70,    0
175154,19790902,   89,    0
175154,19790903,   82,    0
175154,19790904,   81,    0
175154,19790905,   88,    0
175154,19790906,   94,    0
175154,19790907,   72,    0
175154,19790908,   75,    0
175154,19790909,   78,    0
175154,19790910,   77,    0
