 SOUID,    DATE,   HU, Q_HU
175203,19790101,   79,    0
175203,19790102,   70,    0
175203,19790103,   80,    0
175203,19790104,   86,    0
175203,19790105,   82,    0
175203,19790106,   92,    0
175203,19790107,   86,    0
175203,19790108,   85,    0
175203,19790109,   92,    0
175203,19790110,   97,    0
175203,19790111,   85,    0
175203,19790112,   88,    0
175203,19790113,   89,    0
175203,19790114,   89,    0
175203,19790115,   94,    0
175203,19790116,   93,    0
175203,19790117,   84,    0
175203,19790118,   74,    0
175203,19790119,   86,    0
175203,19790120,   90,    0
175203,19790121,   83,    0
175203,19790122,   81,    0
175203,19790123,   84,    0
175203,19790124,   84,    0
175203,19790125,   88,    0
175203,19790126,   85,    0
175203,19790127,   81,    0
175203,19790128,   87,    0
175203,19790129,   96,    0
175203,19790130,   85,    0
175203,19790131,   93,    0
175203,19790201,   94,    0
175203,19790202,   97,    0
175203,19790203,   91,    0
175203,19790204,   91,    0
175203,19790205,   87,    0
175203,19790206,   97,    0
175203,19790207,   92,    0
175203,19790208,   86,    0
175203,19790209,   84,    0
175203,19790210,   78,    0
175203,19790211,   78,    0
175203,19790212,   84,    0
175203,19790213,   74,    0
175203,19790214,   67,    0
175203,19790215,   71,    0
175203,19790216,   65,    0
175203,19790217,   66,    0
175203,19790218,   68,    0
175203,19790219,   78,    0
175203,19790220,   82,    0
175203,19790221,   77,    0
175203,19790222,   84,    0
175203,19790223,   79,    0
175203,19790224,   87,    0
175203,19790225,   92,    0
175203,19790226,   91,    0
175203,19790227,   96,    0
175203,19790228,   99,    0
175203,19790301,   90,    0
175203,19790302,   90,    0
175203,19790303,   96,    0
175203,19790304,   99,    0
175203,19790305,   91,    0
175203,19790306,   90,    0
175203,19790307,   83,    0
175203,19790308,   96,    0
175203,19790309,   87,    0
175203,19790310,   85,    0
175203,19790311,   96,    0
175203,19790312,   90,    0
175203,19790313,   91,    0
175203,19790314,   90,    0
175203,19790315,   84,    0
175203,19790316,   85,    0
175203,19790317,   84,    0
175203,19790318,   51,    0
175203,19790319,   69,    0
175203,19790320,   83,    0
175203,19790321,   89,    0
175203,19790322,   93,    0
175203,19790323,   80,    0
175203,19790324,   94,    0
175203,19790325,   93,    0
175203,19790326,   77,    0
175203,19790327,   89,    0
175203,19790328,   98,    0
175203,19790329,   92,    0
175203,19790330,   92,    0
175203,19790331,   97,    0
175203,19790401,  100,    0
175203,19790402,   97,    0
175203,19790403,   97,    0
175203,19790404,   95,    0
175203,19790405,   92,    0
175203,19790406,   89,    0
175203,19790407,   79,    0
175203,19790408,   82,    0
175203,19790409,   81,    0
175203,19790410,   86,    0
175203,19790411,   88,    0
175203,19790412,   85,    0
175203,19790413,   89,    0
175203,19790414,   95,    0
175203,19790415,   68,    0
175203,19790416,   64,    0
175203,19790417,   73,    0
175203,19790418,   82,    0
175203,19790419,   90,    0
175203,19790420,   86,    0
175203,19790421,   78,    0
175203,19790422,   99,    0
175203,19790423,  100,    0
175203,19790424,  100,    0
175203,19790425,   98,    0
175203,19790426,   99,    0
175203,19790427,   97,    0
