 SOUID,    DATE,   HU, Q_HU
175105,19790101,   82,    0
175105,19790102,   76,    0
175105,19790103,   83,    0
175105,19790104,   86,    0
175105,19790105,   80,    0
175105,19790106,   91,    0
175105,19790107,   89,    0
175105,19790108,   92,    0
175105,19790109,   91,    0
175105,19790110,   94,    0
175105,19790111,   89,    0
175105,19790112,   91,    0
175105,19790113,   98,    0
175105,19790114,   97,    0
175105,19790115,   83,    0
175105,19790116,   89,    0
175105,19790117,   87,    0
175105,19790118,   91,    0
175105,19790119,   96,    0
175105,19790120,   93,    0
175105,19790121,   93,    0
175105,19790122,   93,    0
175105,19790123,   95,    0
175105,19790124,   92,    0
175105,19790125,   93,    0
175105,19790126,   89,    0
175105,19790127,   91,    0
175105,19790128,   87,    0
175105,19790129,   91,    0
175105,19790130,   91,    0
175105,19790131,   73,    0
175105,19790201,   92,    0
175105,19790202,   95,    0
175105,19790203,   93,    0
175105,19790204,   92,    0
175105,19790205,   86,    0
175105,19790206,   88,    0
175105,19790207,   88,    0
175105,19790208,   89,    0
175105,19790209,   86,    0
175105,19790210,   82,    0
175105,19790211,   77,    0
175105,19790212,   85,    0
175105,19790213,   83,    0
175105,19790214,   79,    0
175105,19790215,   82,    0
175105,19790216,   80,    0
175105,19790217,   75,    0
175105,19790218,   93,    0
175105,19790219,   94,    0
175105,19790220,   87,    0
175105,19790221,   79,    0
175105,19790222,   86,    0
175105,19790223,   80,    0
175105,19790224,   79,    0
175105,19790225,   87,    0
175105,19790226,   84,    0
175105,19790227,   92,    0
175105,19790228,   87,    0
175105,19790301,   91,    0
175105,19790302,   87,    0
175105,19790303,   85,    0
175105,19790304,   90,    0
175105,19790305,   82,    0
175105,19790306,   86,    0
175105,19790307,   65,    0
175105,19790308,   82,    0
175105,19790309,   89,    0
175105,19790310,   80,    0
175105,19790311,   84,    0
175105,19790312,   90,    0
175105,19790313,   93,    0
175105,19790314,   92,    0
175105,19790315,   92,    0
175105,19790316,   79,    0
175105,19790317,   70,    0
175105,19790318,   68,    0
175105,19790319,   66,    0
175105,19790320,   64,    0
175105,19790321,   74,    0
175105,19790322,   87,    0
175105,19790323,   77,    0
175105,19790324,   87,    0
175105,19790325,   87,    0
175105,19790326,   77,    0
175105,19790327,   63,    0
175105,19790328,   66,    0
175105,19790329,   70,    0
175105,19790330,   71,    0
175105,19790331,   87,    0
175105,19790401,   95,    0
175105,19790402,   77,    0
175105,19790403,   82,    0
175105,19790404,   93,    0
175105,19790405,   87,    0
175105,19790406,   82,    0
175105,19790407,   78,    0
175105,19790408,   80,    0
175105,19790409,   75,    0
175105,19790410,   69,    0
175105,19790411,   58,    0
175105,19790412,   56,    0
175105,19790413,   63,    0
175105,19790414,   94,    0
175105,19790415,   67,    0
175105,19790416,   59,    0
175105,19790417,   52,    0
175105,19790418,   70,    0
175105,19790419,   49,    0
175105,19790420,   55,    0
175105,19790421,   61,    0
175105,19790422,   58,    0
175105,19790423,   51,    0
175105,19790424,   77,    0
175105,19790425,   90,    0
175105,19790426,   78,    0
175105,19790427,   83,    0
175105,19790428,   84,    0
175105,19790429,   69,    0
175105,19790430,   62,    0
175105,19790501,   67,    0
175105,19790502,   65,    0
175105,19790503,   87,    0
175105,19790504,   97,    0
175105,19790505,   72,    0
175105,19790506,   58,    0
175105,19790507,   90,    0
175105,19790508,   66,    0
175105,19790509,   58,    0
175105,19790510,   74,    0
175105,19790511,   93,    0
175105,19790512,   59,    0
175105,19790513,   55,    0
175105,19790514,   66,    0
175105,19790515,   67,    0
175105,19790516,   74,    0
175105,19790517,   67,    0
175105,19790518,   57,    0
175105,19790519,   84,    0
175105,19790520,   70,    0
175105,19790521,   51,    0
175105,19790522,   39,    0
