 SOUID,    DATE,   HU, Q_HU
175231,19790101,   79,    0
175231,19790102,   70,    0
175231,19790103,   79,    0
175231,19790104,   79,    0
175231,19790105,   76,    0
175231,19790106,   89,    0
175231,19790107,   91,    0
175231,19790108,   90,    0
175231,19790109,   90,    0
175231,19790110,   93,    0
175231,19790111,   87,    0
175231,19790112,   92,    0
175231,19790113,   96,    0
175231,19790114,   97,    0
175231,19790115,   88,    0
175231,19790116,   89,    0
175231,19790117,   87,    0
175231,19790118,   86,    0
175231,19790119,   88,    0
175231,19790120,   91,    0
175231,19790121,   89,    0
175231,19790122,   90,    0
175231,19790123,   89,    0
175231,19790124,   85,    0
175231,19790125,   90,    0
175231,19790126,   85,    0
175231,19790127,   89,    0
175231,19790128,   86,    0
175231,19790129,   90,    0
175231,19790130,   86,    0
175231,19790131,   76,    0
175231,19790201,   92,    0
175231,19790202,   96,    0
175231,19790203,   93,    0
175231,19790204,   93,    0
175231,19790205,   86,    0
175231,19790206,   87,    0
175231,19790207,   86,    0
175231,19790208,   87,    0
175231,19790209,   89,    0
175231,19790210,   84,    0
175231,19790211,   77,    0
175231,19790212,   88,    0
175231,19790213,   81,    0
175231,19790214,   74,    0
175231,19790215,   75,    0
175231,19790216,   75,    0
175231,19790217,   76,    0
175231,19790218,   79,    0
175231,19790219,   91,    0
175231,19790220,   80,    0
175231,19790221,   74,    0
175231,19790222,   83,    0
175231,19790223,   77,    0
175231,19790224,   76,    0
175231,19790225,   90,    0
175231,19790226,   84,    0
175231,19790227,   94,    0
175231,19790228,   89,    0
175231,19790301,   90,    0
175231,19790302,   85,    0
175231,19790303,   86,    0
175231,19790304,   94,    0
175231,19790305,   82,    0
175231,19790306,   83,    0
175231,19790307,   57,    0
175231,19790308,   83,    0
175231,19790309,   84,    0
175231,19790310,   77,    0
175231,19790311,   77,    0
175231,19790312,   89,    0
175231,19790313,   87,    0
175231,19790314,   92,    0
175231,19790315,   87,    0
175231,19790316,   74,    0
175231,19790317,   72,    0
175231,19790318,   61,    0
175231,19790319,   60,    0
175231,19790320,   63,    0
175231,19790321,   73,    0
175231,19790322,   86,    0
175231,19790323,   69,    0
175231,19790324,   82,    0
175231,19790325,   85,    0
175231,19790326,   74,    0
175231,19790327,   63,    0
175231,19790328,   65,    0
175231,19790329,   70,    0
175231,19790330,   70,    0
175231,19790331,   88,    0
175231,19790401,   97,    0
175231,19790402,   87,    0
175231,19790403,   85,    0
175231,19790404,   89,    0
175231,19790405,   83,    0
175231,19790406,   73,    0
175231,19790407,   70,    0
175231,19790408,   69,    0
175231,19790409,   72,    0
175231,19790410,   62,    0
175231,19790411,   55,    0
175231,19790412,   53,    0
175231,19790413,   62,    0
175231,19790414,   88,    0
175231,19790415,   56,    0
175231,19790416,   52,    0
175231,19790417,   50,    0
175231,19790418,   68,    0
175231,19790419,   57,    0
175231,19790420,   59,    0
175231,19790421,   55,    0
175231,19790422,   58,    0
175231,19790423,   57,    0
175231,19790424,   80,    0
175231,19790425,   95,    0
175231,19790426,   85,    0
175231,19790427,   86,    0
175231,19790428,   76,    0
175231,19790429,   75,    0
175231,19790430,   58,    0
175231,19790501,   69,    0
175231,19790502,   64,    0
175231,19790503,   88,    0
175231,19790504,   95,    0
175231,19790505,   73,    0
175231,19790506,   57,    0
175231,19790507,   86,    0
175231,19790508,   64,    0
175231,19790509,   48,    0
175231,19790510,   72,    0
175231,19790511,   93,    0
175231,19790512,   62,    0
175231,19790513,   54,    0
175231,19790514,   64,    0
175231,19790515,   71,    0
175231,19790516,   70,    0
175231,19790517,   58,    0
175231,19790518,   46,    0
